N∞|RUC|PROVEEDOR|MODALIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|UBIGEO|DOMICILIO LEGAL|EMAIL|TEl…FONO|ESTADOS CONTRATOS|FECHA ACTUALIZACI”N|||||||||||||||||||||||||||||
96|20603827334|CONSORCIO SAN LORENZO|PRODUCTOS|LAMBAYEQUE|CHICLAYO|CHICLAYO|140101|CENTRO POBLADO CHICLAYO - CENTRO POBLADO NUEVA ESPERANZA - AVENIDA EL TRIUNFO MZA A LOTE 09|sanlorenzosac1@gmail.com|956924994|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
97|20561108014|CONSORCIO ALIMENTOS KAYA|PRODUCTOS|LAMBAYEQUE|CHICLAYO|MONSEFU|140108|CALLE DIVINO NI—O N∞ 170 SECTOR SAN JOSE|cevergel@gmail.com|074325309|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
98|20601257387|CONSORCIO VICTORIA|PRODUCTOS|LAMBAYEQUE|CHICLAYO|PIMENTEL|140112|ZONA INDUSTRIAL PARQUE INDUSTRIAL - OTROS PREDIO LOS ARENALES SUB LOTE B-1E|logistica@grupovasquez.com.pe|74775280|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
99|20601257387|CONSORCIO VICTORIO|PRODUCTOS|LAMBAYEQUE|CHICLAYO|PIMENTEL|140112|ZONA INDUSTRIAL PARQUE INDUSTRIAL - OTROS PREDIO LOS ARENALES SUB LOTE B-1E|logistica@grupovasquez.com.pe|74775280|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
100|20487593941|CONSORCIO TROPICAL|PRODUCTOS|LAMBAYEQUE|LAMBAYEQUE|LAMBAYEQUE|140301|"CARRETERA  PANAMERICANA NORTE KM 778 (COSTADO DEL MOLINO TROPICAL KM 778.5)
"|tropicalworld1@gmail.com|948532340|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
101|20601572568|COMERCIO INDUSTRIA Y SERVICIOS GMV E.I.R.L.|PRODUCTOS|LAMBAYEQUE|LAMBAYEQUE|SAN JOSE|140311|FUNDO SAN MANUEL - CARRETERA SAN JOSE KM 3|consorciocentrop@gmail.com|074211305|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
102|20533650351|CONSORCIO GRUPO DYH|PRODUCTOS|LIMA|LIMA|ANCON|150102|CALLE LAS TEMPERATURAS MZ H LT 04 ACOMPIA|dyhzarzosasrl@gmail.com|970601164|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
103|20365808016|CONSORCIO HORIZONTE|PRODUCTOS|LIMA|LIMA|ANCON|150102|VIA AUXILIAR PANAMERICANA NORTE MZ O1 LOTE 14 Z.I. PARQUE INDUSTRIAL|rserna@corpalen.com|998463353|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
104|20609450879|CONSORCIO GLOBAL FOODS|PRODUCTOS|LIMA|LIMA|ATE|150103|CALLE ANKARA MZ E1 , LT 06 URBANIZACION LOS PORTALES DE JAVIER PRADO II ETAPA|inverfoods.sac@gmail.com|987315926|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
105|20604827877|CONSORCIO LIMA SUR|PRODUCTOS|LIMA|LIMA|CARABAYLLO|150106|CENTRO POBLADO CARABAYLLO - URBANIZACI”N SANTO TOMAS DE CARABAYLLO - CALLE MZA L LOTE 20|grupocoalpe@gmail.com|958337529|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
106|10448851279|CONSORCIO INVERFOOD|PRODUCTOS|LIMA|LIMA|CARABAYLLO|150106|URBANIZACI”N SANTA MARIA ETAPA 11 - CALLE MIGUEL ANGEL BOUNAROTTI MZA Q LOTE 1|eperez4488@gmail.com|981564981|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
107|10400376447|CONSORCIO JIMAR|PRODUCTOS|LIMA|LIMA|COMAS|150110|URBANIZACI”N LA HACIENDA - CALLE 3 C MZA G LOTE 1|jimar.gove.2020@gmail.com|932103848|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
108|10402518133|CONSORCIO TRES MARIAS|PRODUCTOS|LIMA|LIMA|COMAS|150110|AV. 22 DE AGOSTO N∞996 - URB. SANTA LUZMILA II ETAPA|cjgiovanamaria1@gmail.com|6366048|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
109|20601688965|CONSORCIO ESTRELLA DEL NORTE 2|PRODUCTOS|LIMA|LIMA|COMAS|150110|JIRON 8 DE ENERO N∞930 |innovapan1@gmail.com|971118933|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
110|20601705941|CONSORCIO ATLANTA ALIMENTOS|PRODUCTOS|LIMA|LIMA|COMAS|150110|AV. METROPOLITANA N∫ 902 MZ : I LT : 8A URB. SANTA ISOLINA I ETAPA|elfer906_72@hotmail.com|974872524|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
111|10201085344|LUNA ESCOBAR MIGUEL RUBEN|PRODUCTOS|LIMA|LIMA|JESUS MARIA|150113|JR. PACHACUTEC N∞ 901|mige1977@hotmail.com|936862875|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
112|10096070263|CONSORCIO WAYRA|PRODUCTOS|LIMA|LIMA|LA VICTORIA|150115| AV. PALERMO 588 |info@wayra.com.pe|997443123|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
113|10038730008|CONSORCIO CRISTO REY|PRODUCTOS|LIMA|LIMA|LOS OLIVOS|150117|AV HUANDOY MZ E3 LOTE 73 URB. LOS NARANJOS III ETAPA |paulyarleque15c@gmail.com|016542713|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
114|20601735751|CONSORCIO ISCA|PRODUCTOS|LIMA|LIMA|LOS OLIVOS|150117|URBANIZACI”N COVIDA ETAPA 3 - JIRON LOS CASTA—OS N∞ 1137|gj-trujillo@hotmail.com|990199055|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
115|20602429556|CONSORCIO GJ|PRODUCTOS|LIMA|LIMA|LOS OLIVOS|150117|N URBANIZACI”N MERCURIO - JIRON CARAZ N∞ 912|gj_corporation@hotmail.com|949943685|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
116|20565424182|CONSORCIO NUTRIARBOL|PRODUCTOS|LIMA|LIMA|LOS OLIVOS|150117|URBANIZACI”N MARISCAL GAMARRA MZA O LOTE 2-3|industriaswicasaeirl@gmail.com|996872597|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
117|20503516455|PALOMA NIDITO DE AMOR E.I.R.L.|PRODUCTOS|LIMA|LIMA|LOS OLIVOS|150117|"PUEBLO JOVEN P.J.P.M.V. ""CONFRATERNIDAD"" (AA.HH. SAN MARTIN DE PORRES) - AVENIDA HUANDOY (ANTES PROCERES) MZA 205 LOTE 35"|nidito_14@hotmail.com|951304828|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
118|20604712115|HOLDING ALIMENTARIO ANDINO SOCIEDAD ANONIMA CERRADA|PRODUCTOS|LIMA|LIMA|LOS OLIVOS|150117|JIRON SANTA ELENA N∞ 232, URB SANTA ANA|holding.andinosac@gmail.com|0000|RESUELTO|14/04/2023|||||||||||||||||||||||||||||
119|10435532506|CONSORCIO CENTRAL|PRODUCTOS|LIMA|LIMA|LURIGANCHO|150118| CALLE LAS MIMOSAS MZ. B-2 LOTE 8 LA CAPITANA ,C.P. SANTA MARIA DE HUACHIPA|emcy.022@gmail.com|064243233|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
120|20604311609|CONSORCIO GAIA|PRODUCTOS|LIMA|LIMA|PUEBLO LIBRE|150121|CENTRO POBLADO PUEBLO LIBRE - AVENIDA MANUEL CIPRIANO DULANTO N∞ 2047 BLOCK B INTERIOR 302 PISO 3|zafiro.qw@gmail.com|986390261|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
121|20606957646|CONSORCIO SOAN FOODS|PRODUCTOS|LIMA|LIMA|PUENTE PIEDRA|150125|CALLE LOS CEDROS N∞495 - URB. SHANGRILA|productos.soan.sac@hotmail.com|970089288|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
122|20607713651|CONSORCIO CEDAMP|PRODUCTOS|LIMA|LIMA|PUENTE PIEDRA|150125|ASOCIACI”N DE PROPIETARIOS DE ALAMEDA DEL NORTE - CALLE LAS ACACIAS MZA D4 LOTE 15|corp.dampsac@gmail.com|968823853|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
123|10232722318|CONSORCIO SAN CRISTOBAL|PRODUCTOS|LIMA|LIMA|PUENTE PIEDRA|150125|CALLE LOS NOGALES N∫ 142 URBANIZACION SHANGRILA|angelicayapuchuraccanto@gmail.com|0|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
124|10232722318|CONSORCIO SAN CRISTOBAL 1|PRODUCTOS|LIMA|LIMA|PUENTE PIEDRA|150125|CALLE LOS NOGALES N∞131 URB. SHANGRILA|angelicayapuchuraccanto@gmail.com|0|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
125|10104772612|CONSORCIO SHIRAMBARI|PRODUCTOS|LIMA|LIMA|SAN BORJA|150130|AVENIDA SAN BORJA NORTE N∞ 1455|mercydianalissette.2020@hotmail.com|975689266|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
126|10410733183|CONSORCIO ALPRONUT|PRODUCTOS|LIMA|LIMA|SAN JUAN DE LURIGANCHO|150132| CALLE LAS MIMOSAS MZ. B-2 LOTE 8 LA CAPITANA ,C.P. SANTA MARIA DE HUACHIPA|jenniferbo2023@gmail.com|981214461|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
127|10092123958|CONSORCIO COALPE|PRODUCTOS|LIMA|LIMA|SAN JUAN DE LURIGANCHO|150132|CENTRO POBLADO CAMPOY - COOPERATIVA AGUAS GASIFICADAS - PARQUE INCA KOLA MZA C LOTE 3|dalmiraov2023@gmail.com|915353260|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
128|10101160969|CONSORCIO VITAL NUTRITION|PRODUCTOS|LIMA|LIMA|SAN JUAN DE LURIGANCHO|150132|CALLE LAS MIMOSAS MZ. B-2 LOTE 8 LA CAPITANA ,C.P. SANTA MARIA DE HUACHIPA|mvioletabo2023@gmail.com|980768964|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
129|10104127962|CONSORCIO JOSE OLAYA|PRODUCTOS|LIMA|LIMA|SAN MARTIN DE PORRES|150135|APV LOS LIBERTADORES MZ. Y LT. 8|nutrifareirl.1@gmail.com|971118933|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
130|10404496111|CONSORCIO QUALITY COMPANY|PRODUCTOS|LIMA|LIMA|SAN MARTIN DE PORRES|150135| COOPERATIVA VIRGEN DE FATIMA - CALLE EL OLIVAR MZA D LOTE 3-B|Qualitycompani1@gmail.com|967207768|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
131|10758535300|CONSORCIO JIREH|PRODUCTOS|LIMA|LIMA|SAN MARTIN DE PORRES|150135|MZ A LT 1 PROG VIV LA RIVIERA|fdyarlequenutrifar@gmail.com|952274391|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
132|20450575934|CONSORCIO SUAREZ|PRODUCTOS|LIMA|LIMA|SAN MARTIN DE PORRES|150135|AV. TOMAS VALLE N∞ 2045 - URB. SAN PEDRO DE GARAGAY|suarezconsorcio@hotmail.com|015389143|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
133|20521948222|CONSORCIO UNION|PRODUCTOS|LIMA|LIMA|SAN MARTIN DE PORRES|150135|URBANIZACI”N COOP. LA UNION - JIRON MELCHOR CUMPA MZA H LOTE 34|brotperueirl@gmail.com|4078468|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
134|20602454356|CONSORCIO NUTRIFAR|PRODUCTOS|LIMA|LIMA|SAN MARTIN DE PORRES|150135|ASOCIACI”N LOS LIBERTADORES (CRUCE DE TOMAS VALLE Y ANGELICA GAMARRA) - CALLE TOMAS COCHRANE N∞ 533|central@nutrifar.org|971118933|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
135|20608758802|CONSORCIO ALEMIR|PRODUCTOS|LIMA|LIMA|SAN MARTIN DE PORRES|150135| URBANIZACI”N LOS LIBERTADORES - JIRON VIZCARDO Y GUZMAN N∞460|ludovicustradingeirl@gmail.com|4001918|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
136|20600414128|CONSORCIO R&L|PRODUCTOS|LIMA|LIMA|SANTA ANITA|150137|CAL. SALVADOR DALI MZA H1 LOTE 10 URB. EL ASESOR I (ENTRE AV. HUAROCHIRI Y AV. HUANCARAY)|SDHLOGISTICO@GMAIL.COM|3546607|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
137|20524209382|CONSORCIO MOVA|PRODUCTOS|LIMA|LIMA|SANTIAGO DE SURCO|150140|CAL. PARAMONGA 691 URB. LAS PONCIANAS, DPTO. 408|grupomova2022@gmail.com|953672860|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
138|10417873860|CONSORCIO COMERCIAL ALIMENTOS CRISTINA|PRODUCTOS|LIMA|CA—ETE|IMPERIAL|150507|CENTRO POBLADO AA.HH. JOSEFINA RAMOS MZA C-1 LOTE 26|crisrinamarlenediaz11@gmail.com|918358785|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
139|20600058577|SERVICIOS E INVERSIONES LIVA E.I.R.L.|PRODUCTOS|LORETO|MAYNAS|IQUITOS|160101|PASAJE ANGEL BRUSCO 135|consorciosmp.pnae@gmail.com|065252162|RESUELTO|14/04/2023|||||||||||||||||||||||||||||
140|20609132265|CONSORCIO ALFANA|PRODUCTOS|LORETO|MAYNAS|IQUITOS|160101|CARRETERA IQUITOS NAUTA SECTOR KIARA KM 2.5|alfanaeirl@gmail.com|3481968|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
141|20527446369|CONSORCIO MAYNAS|PRODUCTOS|LORETO|MAYNAS|PUNCHANA|160108|CALLE CAHUIDE N∞ 589|industriakcorilazo@gmail.com|950301753|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
142|20602666850|CONSORCIO INCAWALK|PRODUCTOS|LORETO|MAYNAS|PUNCHANA|160108| CALLE CAHUIDE N∫ 589 PJ. MANUEL CLAVERO|kkcorilazo@hotmail.com|084217996|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
143|20601812992|GROUP INVERSIONES JUDOGA EIRL|PRODUCTOS|LORETO|ALTO AMAZONAS|YURIMAGUAS|160201|VIA DE EVITAMIENTO S/N (COSTADO DE LA DISCOTECA PARADISE)|gijudoga@gelozanogarcia.com.pe|965668016|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
144|20600054130|CONSORCIO AMAZONMARK|PRODUCTOS|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|170101|AV. ANDR…S AVELINO C¡CERES N∞ 4041|amazonmark.sac.mdd@gmail.com|962685226|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
145|20525836089|CONSORCIO DMK|PRODUCTOS|PIURA|PIURA|PIURA|200101| MERCADO MODELO PUESTO 12 UNIDAD 1 |fernandoarcegayoso@gmail.com|73701095|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
146|20530234526|CONSORCIO MDO|PRODUCTOS|PIURA|PIURA|PIURA|200101|CENTRO POBLADO EJIDOS DEL NORTE - FUNDO EJIDOS DEL NORTE - CALLE LOS EJIDOS DEL NORTE N∞ 116|eloygarces87@gmail.com|73404394|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
147|20606055456|CONSORCIO ALMACENES Y ALIMENTOS DEL NORTE|PRODUCTOS|PIURA|PIURA|PIURA|200101|URBANIZACI”N PIURA MZA B4 LOTE 5|almacenesyalimentosdelnorte@gmail.com|73392863|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
148|20605237518|CONSORCIO AZUL|PRODUCTOS|PIURA|PIURA|CASTILLA|200104|ASOCIACI”N CIVIL CASA HUERTO NUEVO AMANECER MZ P LOTE 9|cibelesdelnorte@gmail.com|964498436|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
149|20605237518|CONSORCIO NAUNET|PRODUCTOS|PIURA|PIURA|CASTILLA|200104|"CALLE ""HUAYNA CAPAC"" N∞ 315 - A.H. TALARITA"|cibelesdelnorte@gmail.com|964498436|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
150|20607354783|CONSORCIO MEGA|PRODUCTOS|PIURA|PIURA|CASTILLA|200104|ASOCIACI”N CIVIL CASA HUERTO NUEVO AMANECER - CALLE LOS ROBLES MZA T LOTE 03|procesadoralr.peru@gmail.com|974417287|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
151|20526549989|DISTRIBUCIONES MARIA KAROLINA SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA|PRODUCTOS|PIURA|PIURA|CASTILLA|200104|ASOCIACI”N CIVIL CASA HUERTO NUEVO AMANECER - CALLE LOS PINOS, MZS. S, LOTE 8  |dismarkar@gmail.com|073305122|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
152|20602286666|CONSORCIO AGROHILMART|PRODUCTOS|PIURA|PIURA|LA ARENA|200109|CARRETERA PAMPA CHICA 2B - CASERIO VICHAYAL|agrohilmart@gmail.com|73308259|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
153|10028726843|CONSORCIO HILMART|PRODUCTOS|PIURA|PIURA|LA ARENA|200109|CARRETERA PAMPA CHICA N∞ 2 - CASERIO VICHAYAL|neimesipp@gmail.com|990926278|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
154|20601724651|CONSORCIO IHM|PRODUCTOS|PIURA|PIURA|VEINTISEIS DE OCTUBRE|200115|CENTRO POBLADO A.H VILLA HERMOSA FND. EX PREDIO COSCOMBA MZ. O LT. S/N|alimentoselchilalo@gmail.com|915205721|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
155|20530317901|REPRESENTACIONES VIRGEN DE LAS NIEVES S.A.C.|PRODUCTOS|PIURA|PIURA|VEINTISEIS DE OCTUBRE|200115|LOTE 10 UBIC. RUR. ASOCIACION SANTA LUCIA - SECTOR COSCOMBA|gerencia1.vdn@gmail.com|073395006|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
156|10478357228|CONSORCIO OPERADORES LOGISTICOS|PRODUCTOS|PUNO|PUNO|PUNO|210101|AV. EL SOL N∞ 1169 - CENTRO POBLADO LAYKAKOTA |elmer.negociosdelsur@gmail.com|051602613|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
157|20448165044|CONSORCIO FAHE SOCIEDAD ANONIMA CERRADA|PRODUCTOS|PUNO|PUNO|PUNO|210101|CENTRO POBLADO PUNO - JIRON HUANCANE N∞ 858|jicc.peru@hotmail.com|953704136|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
158|20448860818|CONSORCIO GRUPO MARKETING ALIMENTARIA SAC|PRODUCTOS|PUNO|PUNO|PUNO|210101|URBANIZACION RINCONADA SALCEDO MZA P LOTE 16|gmarketingasac@gmail.com|988226601|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
159|10455257951|CONSORCIO ILLARY ANDINA|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|CENTRO POBLADO CESAR VALLEJO - URBANIZACION ANEXO CESAR VALLEJO - JIRON POEMAS HUMANOS MZ. I LOTE 3.|kzapanavilca@gmail.com|943258289|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
160|20406499562|CONSORCIO CORPORACION COILA|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|URBANIZACION SANTA MARIA - JIRON HUASCAR N∞ 1060|aliprocsac@hotmail.com|051336599|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
161|20406544291|CONSORCIO NUTRITEC|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101| URB. MUNICIPAL, TAPARACHI MZ-B, LOTE-17B|nutritec.eirl@gmail.com|951517792|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
162|20447969531|CORPORACION GRANIX  E.I.R.L.|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|CENTRO POBLADO APIRAJ - URBANIZACI”N APIRAJ - AVENIDA POLIGONO INDUSTRIAL MZA B LOTE 01 |CORPORACIONGRANIX@GMAIL.COM|952222794|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
163|10447574271|CONSORCIO GRUPO EDEN FOODS|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|CENTRO POBLADO JORGE CH¡VEZ ñ URBANIZACI”N S/N ñ PASAJE WIRACOCHA N∞ 153 |grupoedenfood@gmail.com|985223320|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
164|20601617022|CORPORACION BEGANX S.A.C.|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|URBANIZACION SANTA ANA - JIRON NESTOR S. MOLINA MZA K LOTE 12|beganxsac@gmail.com|951347425|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
165|20602654843|CONSORCIO GRUPO EXON|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|JIRON BENIGNO BALLON N∞ 1070|exonperu2023@gmail.com|0|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
166|20603500530|CONSORCIO CORPORACI”N DE ALIMENTOS NUTRITIVOS|PRODUCTOS|PUNO|SAN ROMAN|JULIACA|211101|CENTRO POBLADO JULIACA - URBANIZACI”N MARÕA LUISA ñ AVENIDA CIRCUNVALACI”N N∞ 1189|corpalinsasrl@gmail.com|966907011|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
167|10024131501|MAMANI ADCCO JUANA|PRODUCTOS|PUNO|SAN ROMAN|SAN MIGUEL|211105|URBANIZACI”N SANTA ASUNCI”N - JIR”N MARINERO MZA I-5 LOTE 10 |consorciojmaperu@gmail.com|951660474|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
168|20609847205|CONSORCIO SOAND|PRODUCTOS|SAN MARTIN|PICOTA|PUCACACA|220705|JIRON CUZCO MZA 19 LOTE 3A|soand2022sac@gmail.com|980035023|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
169|20488948017|CONSORCIO AGROLACTHA|PRODUCTOS|SAN MARTIN|RIOJA|RIOJA|220801| AVENIDA TUPAC AMARU N∞ 895|agrolactha@yahoo.es|976146916|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
170|20602569609|CONSORCIO SANTO CRISTO DE BAGAZAN|PRODUCTOS|SAN MARTIN|RIOJA|RIOJA|220801|URBANIZACI”N LAS PALMERAS - JIRON LOS OLIVOS N∞ S/N|company.selva@gmail.com|920499443|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
171|20450497364|CONSORCIO EL BUEN SAMARITANO|PRODUCTOS|SAN MARTIN|SAN MARTIN|TARAPOTO|220901|JIR”N LEONCIO PRADO N∞ 999|perunicdelorientes.a.c19@gmail.com|942674472|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
172|20450497364|PERUNIC DEL ORIENTE S.A.C.|PRODUCTOS|SAN MARTIN|SAN MARTIN|TARAPOTO|220901|JIRON LEONCIO PRADO N∞ 999|perunicdelorientes.a.c19@gmail.com|942674472|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
173|10409125692|CONSORCIO ANNY|PRODUCTOS|SAN MARTIN|SAN MARTIN|TARAPOTO|220901|CENTRO POBLADO TARAPOTO - ZONA INDUSTRIAL BARRIO EL COMERCIO - JIRON COMANDANTE CHIRINOS N∞ 463|anny.inversiones2023@gmail.com|042507191|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
174|20604769745|CONSORCIO CUPIDO|PRODUCTOS|SAN MARTIN|SAN MARTIN|TARAPOTO|220901|JIRON AMERICA N∞ 258|sigmaqw2023@gmail.com|0|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
175|20494056934|CONSORCIO KUSKA|PRODUCTOS|SAN MARTIN|TOCACHE|TOCACHE|221001| CAR. SECTOR ALMENDRAS S/N SEC. ALMENDRAS|gmiskysonko@gmail.com|963549020|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
176|20533027424|INDUSTRIAS D'VIDA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA - INDUSTRIAS D'VIDA E.I.R.L.|PRODUCTOS|TACNA|TACNA|CORONEL GREGORIO ALBARRACIN LANCHIPA|230110|URBANIZACI”N 3 DE DICIEMBRE - CALLE 1RO DE MAYO N∞ 120 MZA I LOTE 8|industriasdevida@hotmail.com|052312167|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
177|20600909801|CONSORCIO INAMBU I|PRODUCTOS|UCAYALI|CORONEL PORTILLO|CALLERIA|250101|CENTRO POBLADO PUCALLPA - JIRON OLEODUCTO N∞ S/N MZA 23 A LOTE 16 KM 2|jeseniarodi@hotmail.com|061786907|RESUELTO|14/04/2023|||||||||||||||||||||||||||||
178|20602819524|CONSORCIO AMAZONAS|PRODUCTOS|UCAYALI|CORONEL PORTILLO|CALLERIA|250101|JR GUILLERMO SISLEY N∞ 848 MZ. 317 LT. 15-16|industriasciasasac@gmail.com|974613941|RESUELTO|14/04/2023|||||||||||||||||||||||||||||
179|20394062686|CONSORCIO NUTRIFOODS|PRODUCTOS|UCAYALI|CORONEL PORTILLO|CALLERIA|250101|JR. BOLIVAR N∞ 252|comercializadoranutrifoods@gmail.com|957851785|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
180|10468396225|CONSORCIO NUEVA VIDA I|PRODUCTOS|UCAYALI|CORONEL PORTILLO|CALLERIA|250101|JIRON OLEODUCTO N∞ S/N MZA 23 A LOTE 16 KM 2|anubitorres21@hotmail.com|061786907|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
181|10101050241|CONSORCIO NUEVO AMANECER|PRODUCTOS|UCAYALI|CORONEL PORTILLO|YARINACOCHA|250105|AV. YARINACOCHA MZA 167-A LOTE 6|mgsonia1@yahoo.com|961095039|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
182|10001305081|CONSORCIO SAN MARTIN DE PORRES I|PRODUCTOS|UCAYALI|CORONEL PORTILLO|MANANTAY|250107|JR. LOS LAURELES MZ. 17 LOTE 13 A.H. PROYECTO INTEGRAL LA PAZ ROCA FUERTE|gardel.murrieta@gmail.com|976478794|ACTIVO|14/04/2023|||||||||||||||||||||||||||||
